Order ID,Customer Name,Company,Order Region,Order State,Order City,Category Name,Department Name,Product Name,Order Item Quantity,Order Item Discount,Product Price,Order Item Total,Sales,order date (DateOrders),delivery date (Date),Days for shipment (scheduled),Days for shipping (real),Shipping Mode,Delivery Status,Late_delivery_risk
IND-100000,Raj Reddy,Amazon India,Central,Karnataka,Bengaluru,FMCG,Beverages,Tea Pack 1kg,18,0.15,480.35,7349.36,7349.36,2023-12-16,2023-12-21,1,5,Overnight,Delayed,1
IND-100001,Asha Bose,Flipkart,West,Telangana,Nizamabad,Beauty & Personal Care,Skincare,Sunscreen 100ml,19,0.0,906.75,17228.25,17228.25,2024-04-25,2024-05-02,7,7,Express,In Transit,0
IND-100002,Anjali Gupta,Tata Electronics,West,Karnataka,Mangalore,Kitchen,Storage,Plastic Container 3pc,15,0.15,2704.33,34480.21,34480.21,2024-02-02,2024-02-12,9,10,Overnight,Delayed,1
IND-100003,Raj Sharma,BigBasket,Central,Maharashtra,Pune,FMCG,Beverages,Coffee Jar 200g,9,0.1,2294.38,18584.48,18584.48,2024-04-28,2024-05-05,6,7,Standard,Delayed,1
IND-100004,Vikram Singh,Marico Ltd.,North,Telangana,Hyderabad,Groceries,Staples,Wheat Flour 10kg,2,0.0,1183.79,2367.58,2367.58,2024-10-02,2024-10-09,7,7,Overnight,Out for Delivery,0
IND-100005,Vikram Joshi,Marico Ltd.,North,Telangana,Nizamabad,Books,Fiction,Novel B,5,0.2,815.22,3260.88,3260.88,2025-05-18,2025-05-25,5,7,Overnight,Delivered,1
IND-100006,Pooja Sharma,Hindustan Unilever,Central,Telangana,Hyderabad,Electronics,Mobiles,Smartphone Model A,6,0.15,64405.95,328470.34,328470.34,2025-07-16,2025-07-20,2,4,Overnight,Delivered,1
IND-100007,Suresh Singh,Flipkart,Central,Maharashtra,Mumbai,Furniture,Living Room,Coffee Table,14,0.0,12014.99,168209.86,168209.86,2024-08-09,2024-08-17,9,8,Same Day,Out for Delivery,0
IND-100008,Anjali Patel,Infosys Ltd.,East,Madhya Pradesh,Bhopal,Groceries,Staples,Wheat Flour 10kg,16,0.1,146.41,2108.3,2108.3,2024-09-23,2024-10-07,4,14,Standard,Delayed,1
IND-100009,Vivek Nambiar,Infosys Ltd.,North,Karnataka,Mysuru,Groceries,Staples,Wheat Flour 10kg,17,0.15,4368.54,63125.4,63125.4,2024-06-17,2024-06-26,9,9,Same Day,In Transit,0
IND-100010,Priya Reddy,Marico Ltd.,West,West Bengal,Howrah,FMCG,Beverages,Coffee Jar 200g,1,0.05,2962.13,2814.02,2814.02,2025-07-08,2025-07-13,4,5,Express,Delayed,1
IND-100011,Sneha Singh,Hindustan Unilever,East,Gujarat,Ahmedabad,Books,Fiction,Novel A,19,0.05,1771.01,31966.73,31966.73,2025-03-12,2025-03-21,7,9,Two Day,Delivered,1
IND-100012,Asha Kumar,Dmart,South,Kerala,Thiruvananthapuram,Apparel,Men,Jeans,11,0.0,2421.72,26638.92,26638.92,2024-07-25,2024-08-06,4,12,Express,Delivered,1
IND-100013,Divya Sharma,Wipro Ltd.,West,Delhi,New Delhi,Books,Fiction,Novel A,18,0.0,2524.48,45440.64,45440.64,2024-07-13,2024-07-18,3,5,Express,Delivered,1
IND-100014,Vikram Singh,Reliance Retail,Central,Tamil Nadu,Tiruchirappalli,Books,Education,Science Workbook,18,0.15,2019.43,30897.28,30897.28,2024-04-20,2024-04-23,4,3,Overnight,Out for Delivery,0
IND-100015,Ravi Kapoor,Reliance Retail,Central,Maharashtra,Nagpur,Books,Fiction,Novel A,17,0.05,332.32,5366.97,5366.97,2024-01-23,2024-02-06,10,14,Two Day,Delayed,1
IND-100016,Ravi Kapoor,ITC Limited,North,Telangana,Nizamabad,Apparel,Women,Saree,9,0.25,692.35,4673.36,4673.36,2024-09-30,2024-10-04,4,4,Same Day,In Transit,0
IND-100017,Neha Kapoor,Marico Ltd.,North,Karnataka,Bengaluru,Apparel,Men,T-Shirt,17,0.1,869.08,13296.92,13296.92,2024-01-23,2024-01-27,4,4,Two Day,Out for Delivery,0
IND-100018,Ravi Joshi,Hindustan Unilever,North,Madhya Pradesh,Gwalior,Groceries,Dairy,Milk Powder 1kg,5,0.0,1359.11,6795.55,6795.55,2025-06-02,2025-06-05,3,3,Same Day,Delivered,0
IND-100019,Divya Kumar,Aditya Birla Fashion,Central,Rajasthan,Udaipur,Apparel,Kids,Kids Shorts,9,0.1,227.85,1845.59,1845.59,2024-03-26,2024-04-08,5,13,Overnight,Delivered,1
IND-100020,Asha Patel,Tata Electronics,South,Maharashtra,Mumbai,Groceries,Staples,Wheat Flour 10kg,19,0.15,2785.0,44977.75,44977.75,2024-03-23,2024-03-24,1,1,Same Day,Delivered,0
IND-100021,Suresh Iyer,BigBasket,North,Karnataka,Hubballi,Kitchen,Cookware,Non-stick Pan,6,0.05,4882.22,27828.65,27828.65,2025-01-09,2025-01-16,1,7,Two Day,Delayed,1
IND-100022,Divya Kumar,Mahindra & Mahindra,West,Tamil Nadu,Chennai,Books,Fiction,Novel A,15,0.05,1114.01,15874.64,15874.64,2024-06-29,2024-07-02,1,3,Same Day,Delivered,1
IND-100023,Suresh Iyer,Flipkart,Central,Delhi,New Delhi,Groceries,Dairy,Milk Powder 1kg,4,0.1,4391.34,15808.82,15808.82,2024-05-14,2024-05-25,10,11,Standard,Delayed,1
IND-100024,Karan Gupta,Amazon India,East,Kerala,Thiruvananthapuram,Beauty & Personal Care,Skincare,Sunscreen 100ml,19,0.0,651.23,12373.37,12373.37,2025-11-08,2025-11-24,7,16,Express,Delivered,1
IND-100025,Anjali Joshi,ITC Limited,East,Karnataka,Hubballi,Apparel,Kids,Kids Shorts,17,0.15,996.93,14405.64,14405.64,2024-10-13,2024-10-20,7,7,Express,In Transit,0
IND-100026,Suresh Kumar,Mahindra & Mahindra,South,Tamil Nadu,Madurai,Automotive,Accessories,Car Seat Cover,14,0.2,11893.5,133207.2,133207.2,2025-09-14,2025-09-22,6,8,Express,Delivered,1
IND-100027,Vivek Joshi,Hindustan Unilever,East,Karnataka,Hubballi,Kitchen,Storage,Plastic Container 3pc,8,0.05,3380.34,25690.58,25690.58,2024-06-04,2024-06-11,3,7,Two Day,Delayed,1
IND-100028,Sneha Mehta,ITC Limited,Central,Kerala,Kozhikode,Beauty & Personal Care,Haircare,Conditioner 200ml,8,0.25,527.96,3167.76,3167.76,2023-11-19,2023-11-21,2,2,Express,Out for Delivery,0
IND-100029,Sneha Sharma,Hindustan Unilever,South,West Bengal,Kolkata,Books,Fiction,Novel B,17,0.2,2964.89,40322.5,40322.5,2024-10-03,2024-10-13,8,10,Overnight,Delivered,1
IND-100030,Karan Reddy,Aditya Birla Fashion,South,West Bengal,Siliguri,Automotive,Accessories,Car Seat Cover,9,0.25,6878.15,46427.51,46427.51,2024-09-01,2024-09-06,4,5,Overnight,Delayed,1
IND-100031,Asha Patel,Mahindra & Mahindra,Central,Tamil Nadu,Coimbatore,FMCG,Beverages,Coffee Jar 200g,14,0.15,1687.86,20085.53,20085.53,2025-01-12,2025-01-15,1,3,Two Day,Delayed,1
IND-100032,Anjali Singh,Reliance Retail,South,Kerala,Thiruvananthapuram,Beauty & Personal Care,Haircare,Shampoo 200ml,16,0.15,736.32,10013.95,10013.95,2025-03-25,2025-03-28,1,3,Express,Delivered,1
IND-100033,Vikram Kapoor,Reliance Retail,North,Madhya Pradesh,Gwalior,Kitchen,Cookware,Non-stick Pan,14,0.15,721.71,8588.35,8588.35,2024-05-18,2024-05-20,1,2,Express,Delivered,1
IND-100034,Karan Iyer,Aditya Birla Fashion,South,Gujarat,Surat,Automotive,Spare Parts,Oil Filter,1,0.0,11360.85,11360.85,11360.85,2024-11-06,2024-11-09,4,3,Standard,Delivered,0
IND-100035,Amit Nambiar,Wipro Ltd.,West,Maharashtra,Pune,Apparel,Kids,Kids T-Shirt,15,0.1,2128.45,28734.07,28734.07,2024-05-03,2024-05-12,10,9,Express,In Transit,0
IND-100036,Raj Kapoor,Spencers,Central,Madhya Pradesh,Bhopal,Beauty & Personal Care,Haircare,Shampoo 200ml,3,0.25,1817.08,4088.43,4088.43,2024-07-19,2024-07-22,2,3,Overnight,Delayed,1
IND-100037,Vikram Joshi,Hindustan Unilever,South,Maharashtra,Nagpur,Furniture,Living Room,Coffee Table,1,0.15,51425.81,43711.94,43711.94,2024-03-01,2024-03-10,7,9,Express,Delivered,1
IND-100038,Neha Bose,Aditya Birla Fashion,Central,Rajasthan,Jodhpur,Books,Education,Science Workbook,19,0.05,878.35,15854.22,15854.22,2024-02-10,2024-02-15,5,5,Two Day,Out for Delivery,0
IND-100039,Pooja Gupta,Reliance Retail,Central,Kerala,Thiruvananthapuram,Home Appliances,Large Appliances,Refrigerator 260L,12,0.1,40295.95,435196.26,435196.26,2024-08-26,2024-09-06,10,11,Overnight,Delayed,1
IND-100040,Asha Iyer,Wipro Ltd.,Central,Telangana,Hyderabad,Books,Fiction,Novel B,16,0.0,1399.71,22395.36,22395.36,2024-02-17,2024-02-22,5,5,Same Day,Out for Delivery,0
IND-100041,Suresh Gupta,Hindustan Unilever,South,Gujarat,Surat,Beauty & Personal Care,Haircare,Conditioner 200ml,15,0.1,885.66,11956.41,11956.41,2024-07-07,2024-07-10,2,3,Standard,Delayed,1
IND-100042,Raj Mehta,Marico Ltd.,West,Telangana,Nizamabad,Kitchen,Storage,Plastic Container 3pc,7,0.1,1516.42,9553.45,9553.45,2024-05-15,2024-05-29,5,14,Express,Delivered,1
IND-100043,Amit Joshi,Amazon India,West,Maharashtra,Nagpur,Books,Fiction,Novel A,19,0.15,924.58,14931.97,14931.97,2025-02-07,2025-02-14,6,7,Same Day,Delivered,1
IND-100044,Priya Kapoor,Marico Ltd.,Central,Karnataka,Mangalore,Electronics,Mobiles,Smartphone Model A,19,0.0,76184.42,1447503.98,1447503.98,2024-07-25,2024-07-29,2,4,Overnight,Delayed,1
IND-100045,Pooja Singh,Spencers,South,Kerala,Thiruvananthapuram,Kitchen,Storage,Glass Jar 1L,19,0.2,3124.09,47486.17,47486.17,2024-02-23,2024-02-28,4,5,Standard,Delayed,1
IND-100046,Ravi Iyer,Infosys Ltd.,East,Tamil Nadu,Chennai,Books,Education,Science Workbook,2,0.25,771.28,1156.92,1156.92,2024-08-29,2024-09-10,8,12,Same Day,Delayed,1
IND-100047,Amit Singh,Flipkart,North,Karnataka,Mysuru,Home Appliances,Kitchen Appliances,Mixer Grinder,6,0.2,40046.17,192221.62,192221.62,2025-06-18,2025-06-25,5,7,Same Day,Delivered,1
IND-100048,Pooja Sharma,Marico Ltd.,West,Rajasthan,Jodhpur,Kitchen,Cookware,Pressure Cooker,11,0.0,3038.38,33422.18,33422.18,2024-02-15,2024-02-18,4,3,Same Day,Out for Delivery,0
IND-100049,Vivek Nambiar,Hindustan Unilever,East,Tamil Nadu,Tiruchirappalli,Automotive,Spare Parts,Oil Filter,16,0.15,14551.3,197897.68,197897.68,2024-11-04,2024-11-10,7,6,Express,In Transit,0
IND-100050,Vikram Bose,Flipkart,East,West Bengal,Siliguri,Electronics,Computers,Laptop Model X,11,0.0,23929.91,263229.01,263229.01,2024-12-31,2025-01-08,9,8,Overnight,In Transit,0
IND-100051,Anjali Kapoor,Hindustan Unilever,Central,Maharashtra,Pune,Books,Education,Math Textbook,7,0.05,874.46,5815.16,5815.16,2024-09-03,2024-09-13,8,10,Standard,Delayed,1
IND-100052,Raj Bose,Infosys Ltd.,North,Telangana,Nizamabad,Electronics,TV & Audio,Soundbar 2.1,3,0.0,21852.55,65557.65,65557.65,2025-02-28,2025-03-02,2,2,Two Day,Out for Delivery,0
IND-100053,Vikram Nambiar,Aditya Birla Fashion,East,Rajasthan,Jodhpur,Books,Fiction,Novel B,18,0.05,519.46,8882.77,8882.77,2025-07-19,2025-07-28,9,9,Standard,In Transit,0
